prefill_len,prefill_batch,Prefill Tokens,decode_batch_size,decode_len,cu_mask,Prefill time in isolation_x,Prefill time with interference_x,Serial Prefill time,Slowdown in prefill (H-G),Decode time in isolation_x,Decode Time with interference_x,Serial Decode Time,Slowdown in decode(L-K),Total Serial Time,Total Time with Interference,Overlap,Unnamed: 17,Unnamed: 18,Slowdown in decode (),Prefill time in isolation_y,Decode time in isolation_y,Prefill time with interference_y,Decode Time with interference_y
256,1,256,32,256,32.0,,,,,,,,,,,,,,,71.59033333333333,190.035,72.07166666666666,193.095
256,4,1024,32,256,32.0,,,,,,,,,,,,,,,271.9153333333333,190.15533333333332,271.4476666666667,193.857
256,8,2048,32,256,32.0,,,,,,,,,,,,,,,526.952,190.1953333333333,534.1953333333333,193.536
256,16,4096,32,256,32.0,,,,,,,,,,,,,,,1089.9336666666666,189.728,,784.448
256,32,8192,32,256,32.0,,,,,,,,,,,,,,,2155.478,190.703,,1483.3940000000002
512,1,512,32,256,32.0,,,,,,,,,,,,,,,248.809,190.1016666666667,248.1413333333333,194.32466666666664
512,4,2048,32,256,32.0,,,,,,,,,,,,,,,971.3293333333336,189.92766666666668,947.114,193.99033333333333
512,8,4096,32,256,32.0,,,,,,,,,,,,,,,1913.4976666666669,189.71366666666663,1891.3006666666668,213.38166666666663
512,16,8192,32,256,32.0,,,,,,,,,,,,,,,3835.468333333333,190.40933333333336,,2598.692333333333
1024,1,1024,32,256,32.0,,,,,,,,,,,,,,,953.6483333333332,189.9813333333333,963.4976666666666,205.80433333333332
1024,4,4096,32,256,32.0,,,,,,,,,,,,,,,3602.028,190.008,3599.9966666666664,209.30566666666667
1024,8,8192,32,256,32.0,,,,,,,,,,,,,,,7207.464,190.5963333333333,7219.625,199.59
2048,1,2048,32,256,32.0,,,,,,,,,,,,,,,3591.4303333333337,189.87466666666668,3590.6693333333333,208.28966666666668
2048,4,8192,32,256,32.0,,,,,,,,,,,,,,,13998.294333333331,190.77,14022.403,194.07066666666665
2048,8,16384,32,256,32.0,,,,,,,,,,,,,,,27912.329,191.21033333333327,27923.67433333333,194.07066666666665
4096,1,4096,32,256,32.0,,,,,,,,,,,,,,,14000.913666666667,189.968,14058.311333333331,194.20466666666667
4096,4,16384,32,256,32.0,,,,,,,,,,,,,,,54940.060333333335,191.38466666666667,55027.14066666667,194.28433333333336
256,1,256,64,256,32.0,,,,,,,,,,,,,,,72.28533333333333,373.7083333333333,72.82,375.713
256,4,1024,64,256,32.0,,,,,,,,,,,,,,,271.782,373.6413333333333,272.3033333333333,381.593
256,8,2048,64,256,32.0,,,,,,,,,,,,,,,530.6136666666666,373.5346666666666,528.2086666666667,383.4373333333333
256,16,4096,64,256,32.0,,,,,,,,,,,,,,,1067.2553333333333,373.655,,856.0653333333333
256,32,8192,64,256,32.0,,,,,,,,,,,,,,,2144.266,374.8576666666667,,1559.3273333333334
512,1,512,64,256,32.0,,,,,,,,,,,,,,,248.475,373.70866666666666,249.384,381.339
512,4,2048,64,256,32.0,,,,,,,,,,,,,,,951.8036666666668,373.334,953.034,395.919
512,8,4096,64,256,32.0,,,,,,,,,,,,,,,1898.2896666666663,373.8286666666666,1900.0673333333332,398.5386666666666
512,16,8192,64,256,32.0,,,,,,,,,,,,,,,3822.7996666666654,374.791,,2662.024
1024,1,1024,64,256,32.0,,,,,,,,,,,,,,,965.409,373.8286666666667,943.76,395.01
1024,4,4096,64,256,32.0,,,,,,,,,,,,,,,3601.814,373.468,3591.484,414.0006666666666
1024,8,8192,64,256,32.0,,,,,,,,,,,,,,,7202.238333333334,374.791,7216.778666666666,391.89633333333336
2048,1,2048,64,256,32.0,,,,,,,,,,,,,,,3606.184333333333,373.682,3615.298666666667,414.094
2048,4,8192,64,256,32.0,,,,,,,,,,,,,,,14010.723666666669,374.9243333333333,13998.909666666666,384.6666666666667
2048,8,16384,64,256,32.0,,,,,,,,,,,,,,,28006.02433333333,375.9536666666666,28009.99333333333,385.42800000000005
4096,1,4096,64,256,32.0,,,,,,,,,,,,,,,14017.606333333337,373.775,14051.550333333333,383.731
4096,4,16384,64,256,32.0,,,,,,,,,,,,,,,54956.3,375.873,55108.369,384.0253333333333
256,1,256,128,256,32.0,,,,,,,,,,,,,,,72.379,752.468,72.75333333333334,746.842
256,4,1024,128,256,32.0,,,,,,,,,,,,,,,272.2093333333333,750.998,271.862,762.491
256,8,2048,128,256,32.0,,,,,,,,,,,,,,,526.6853333333332,750.6909999999999,527.7810000000001,765.2843333333334
256,16,4096,128,256,32.0,,,,,,,,,,,,,,,1066.36,753.1766666666666,,991.5616666666666
256,32,8192,128,256,32.0,,,,,,,,,,,,,,,2140.2703333333334,752.8290000000001,,1669.8473333333334
512,1,512,128,256,32.0,,,,,,,,,,,,,,,248.63566666666665,751.8133333333332,248.75566666666663,760.313
512,4,2048,128,256,32.0,,,,,,,,,,,,,,,963.9523333333332,754.0586666666667,965.3823333333332,789.219
512,8,4096,128,256,32.0,,,,,,,,,,,,,,,1908.5136666666667,753.5243333333333,1890.312,784.6619999999999
512,16,8192,128,256,32.0,,,,,,,,,,,,,,,3823.896,756.3436666666666,,2785.105666666667
1024,1,1024,128,256,32.0,,,,,,,,,,,,,,,952.967,750.9853333333334,972.572,796.4756666666667
1024,4,4096,128,256,32.0,,,,,,,,,,,,,,,3602.095,754.0720000000001,3619.962666666667,828.0953333333333
1024,8,8192,128,256,32.0,,,,,,,,,,,,,,,7214.547666666666,756.8653333333333,7227.844666666667,775.2936666666668
2048,1,2048,128,256,32.0,,,,,,,,,,,,,,,3604.995,754.7406666666667,3609.365333333333,805.1886666666666
2048,4,8192,128,256,32.0,,,,,,,,,,,,,,,14014.747,756.598,14012.555,767.9706666666666
2048,8,16384,128,256,32.0,,,,,,,,,,,,,,,27939.567666666662,758.6556666666667,27984.964333333333,765.886
4096,1,4096,128,256,32.0,,,,,,,,,,,,,,,13975.630333333334,750.9453333333335,14014.279333333334,765.6183333333333
4096,4,16384,128,256,32.0,,,,,,,,,,,,,,,54997.97333333333,754.8070000000001,54937.92833333334,765.5649999999999
256,1,256,256,256,32.0,,,,,,,,,,,,,,,72.25833333333333,1488.4863333333335,112.73766666666666,1493.6976666666667
256,4,1024,256,256,32.0,,,,,,,,,,,,,,,271.9556666666667,1488.2183333333332,295.436,1503.159
256,8,2048,256,256,32.0,,,,,,,,,,,,,,,528.115,1480.0796666666668,526.9926666666667,1505.418
256,16,4096,256,256,32.0,,,,,,,,,,,,,,,1087.101,1489.9823333333334,,1392.934
256,32,8192,256,256,32.0,,,,,,,,,,,,,,,2146.244333333333,1495.515,,1952.735
512,1,512,256,256,32.0,,,,,,,,,,,,,,,248.7693333333333,1491.546333333333,272.6506666666667,1496.2103333333334
512,4,2048,256,256,32.0,,,,,,,,,,,,,,,961.4803333333332,1495.2476666666669,953.9293333333334,1523.8866666666663
512,8,4096,256,256,32.0,,,,,,,,,,,,,,,1910.491,1489.3276666666668,1920.087,1589.2496666666666
512,16,8192,256,256,32.0,,,,,,,,,,,,,,,3827.838,1498.081,,3048.388333333334
1024,1,1024,256,256,32.0,,,,,,,,,,,,,,,962.3886666666666,1488.3786666666665,949.4796666666666,1523.5526666666665
1024,4,4096,256,256,32.0,,,,,,,,,,,,,,,3584.976,1492.4816666666666,3605.677,1593.4056666666668
1024,8,8192,256,256,32.0,,,,,,,,,,,,,,,7227.390333333334,1499.8190000000002,7233.444333333333,1546.4053333333334
2048,1,2048,256,256,32.0,,,,,,,,,,,,,,,3606.879666666666,1487.9779999999998,3631.87,1569.8590000000002
2048,4,8192,256,256,32.0,,,,,,,,,,,,,,,13995.382666666666,1495.6890000000003,14207.614666666666,1531.09
2048,8,16384,256,256,32.0,,,,,,,,,,,,,,,27999.678666666663,1504.1616666666669,28324.702666666664,1529.5796666666663
4096,1,4096,256,256,32.0,,,,,,,,,,,,,,,14021.000999999998,1493.1096666666665,14231.068,1532.867
4096,4,16384,256,256,32.0,,,,,,,,,,,,,,,55093.00366666666,1483.1133333333337,55708.225000000006,1526.746666666667
256,1,256,512,256,32.0,,,,,,,,,,,,,,,72.67266666666667,2953.01,120.63566666666668,2985.270666666667
256,4,1024,512,256,32.0,,,,,,,,,,,,,,,272.11566666666664,2958.623333333333,410.0846666666666,2980.473
256,8,2048,512,256,32.0,,,,,,,,,,,,,,,526.8316666666666,2953.116666666667,651.4373333333333,2985.818333333333
256,16,4096,512,256,32.0,,,,,,,,,,,,,,,1064.7293333333334,2958.315333333333,,2371.453
256,32,8192,512,256,32.0,,,,,,,,,,,,,,,2138.453,2959.451,,2792.0686666666666
512,1,512,512,256,32.0,,,,,,,,,,,,,,,249.1963333333333,2958.9836666666665,330.10166666666663,2985.658
512,4,2048,512,256,32.0,,,,,,,,,,,,,,,966.9593333333332,2953.01,1023.4746666666666,3001.066666666667
512,8,4096,512,256,32.0,,,,,,,,,,,,,,,1909.128,2956.859,1870.359333333333,3090.2306666666664
512,16,8192,512,256,32.0,,,,,,,,,,,,,,,3824.8176666666654,2959.6386666666663,,3592.7803333333336
1024,1,1024,512,256,32.0,,,,,,,,,,,,,,,958.8073333333332,2958.8236666666667,1010.913,3031.616333333333
1024,4,4096,512,256,32.0,,,,,,,,,,,,,,,3600.718666666667,2952.021,3603.297666666667,3154.497666666666
1024,8,8192,512,256,32.0,,,,,,,,,,,,,,,7230.437666666668,2966.1066666666666,7220.628,3112.548666666667
2048,1,2048,512,256,32.0,,,,,,,,,,,,,,,3615.218666666667,2952.208333333333,3663.93,3183.203666666667
2048,4,8192,512,256,32.0,,,,,,,,,,,,,,,14034.044666666668,2966.708333333333,14306.775,3136.496333333333
