,_orig,Kind,Agent_Id,Queue_Id,Thread_Id,Dispatch_Id,Kernel_Id,Kernel_Name,Correlation_Id,Start_Timestamp,End_Timestamp,Private_Segment_Size,Group_Segment_Size,Workgroup_Size_X,Workgroup_Size_Y,Workgroup_Size_Z,Grid_Size_X,Grid_Size_Y,Grid_Size_Z,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,source_file,duration_us
0,42,KERNEL_DISPATCH,4,2,1305977,43,273,kernel_unified_attention_2d,43,293635073676178,293635073793366,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,128.0,standalone_attn_decode_tp8_128_1024_128_kernel_trace.csv,117.188
1,43,KERNEL_DISPATCH,4,2,1305977,44,273,kernel_unified_attention_2d,44,293635074062341,293635074176963,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,128.0,standalone_attn_decode_tp8_128_1024_128_kernel_trace.csv,114.622
2,44,KERNEL_DISPATCH,4,2,1305977,45,273,kernel_unified_attention_2d,45,293635074305297,293635074419478,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,128.0,standalone_attn_decode_tp8_128_1024_128_kernel_trace.csv,114.181
3,45,KERNEL_DISPATCH,4,2,1305977,46,273,kernel_unified_attention_2d,46,293635074526322,293635074644834,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,128.0,standalone_attn_decode_tp8_128_1024_128_kernel_trace.csv,118.512
4,46,KERNEL_DISPATCH,4,2,1305977,47,273,kernel_unified_attention_2d,47,293635074749674,293635074868946,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,128.0,standalone_attn_decode_tp8_128_1024_128_kernel_trace.csv,119.272
5,89,KERNEL_DISPATCH,4,2,1306255,43,273,kernel_unified_attention_2d,43,293666960465397,293666960527579,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,160.0,standalone_attn_decode_tp8_128_1024_160_kernel_trace.csv,62.182
6,90,KERNEL_DISPATCH,4,2,1306255,44,273,kernel_unified_attention_2d,44,293666960800843,293666960859899,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,160.0,standalone_attn_decode_tp8_128_1024_160_kernel_trace.csv,59.056
7,91,KERNEL_DISPATCH,4,2,1306255,45,273,kernel_unified_attention_2d,45,293666960987390,293666961046285,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,160.0,standalone_attn_decode_tp8_128_1024_160_kernel_trace.csv,58.895
8,92,KERNEL_DISPATCH,4,2,1306255,46,273,kernel_unified_attention_2d,46,293666961150804,293666961216595,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,160.0,standalone_attn_decode_tp8_128_1024_160_kernel_trace.csv,65.791
9,93,KERNEL_DISPATCH,4,2,1306255,47,273,kernel_unified_attention_2d,47,293666961318428,293666961377483,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,160.0,standalone_attn_decode_tp8_128_1024_160_kernel_trace.csv,59.055
10,136,KERNEL_DISPATCH,4,2,1305116,43,273,kernel_unified_attention_2d,43,293534581807944,293534582148443,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,32.0,standalone_attn_decode_tp8_128_1024_32_kernel_trace.csv,340.499
11,137,KERNEL_DISPATCH,4,2,1305116,44,273,kernel_unified_attention_2d,44,293534582472183,293534582809635,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,32.0,standalone_attn_decode_tp8_128_1024_32_kernel_trace.csv,337.452
12,138,KERNEL_DISPATCH,4,2,1305116,45,273,kernel_unified_attention_2d,45,293534582940574,293534583278067,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,32.0,standalone_attn_decode_tp8_128_1024_32_kernel_trace.csv,337.493
13,139,KERNEL_DISPATCH,4,2,1305116,46,273,kernel_unified_attention_2d,46,293534583387637,293534583729179,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,32.0,standalone_attn_decode_tp8_128_1024_32_kernel_trace.csv,341.542
14,140,KERNEL_DISPATCH,4,2,1305116,47,273,kernel_unified_attention_2d,47,293534583836825,293534584178086,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,32.0,standalone_attn_decode_tp8_128_1024_32_kernel_trace.csv,341.261
15,183,KERNEL_DISPATCH,4,2,1305418,43,273,kernel_unified_attention_2d,43,293568550292252,293568550464847,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,64.0,standalone_attn_decode_tp8_128_1024_64_kernel_trace.csv,172.595
16,184,KERNEL_DISPATCH,4,2,1305418,44,273,kernel_unified_attention_2d,44,293568550727046,293568550899159,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,64.0,standalone_attn_decode_tp8_128_1024_64_kernel_trace.csv,172.113
17,185,KERNEL_DISPATCH,4,2,1305418,45,273,kernel_unified_attention_2d,45,293568551026571,293568551198123,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,64.0,standalone_attn_decode_tp8_128_1024_64_kernel_trace.csv,171.552
18,186,KERNEL_DISPATCH,4,2,1305418,46,273,kernel_unified_attention_2d,46,293568551305930,293568551481572,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,64.0,standalone_attn_decode_tp8_128_1024_64_kernel_trace.csv,175.642
19,187,KERNEL_DISPATCH,4,2,1305418,47,273,kernel_unified_attention_2d,47,293568551585289,293568551755238,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,64.0,standalone_attn_decode_tp8_128_1024_64_kernel_trace.csv,169.949
20,230,KERNEL_DISPATCH,4,2,1305699,43,273,kernel_unified_attention_2d,43,293602402072184,293602402189814,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,96.0,standalone_attn_decode_tp8_128_1024_96_kernel_trace.csv,117.63
21,231,KERNEL_DISPATCH,4,2,1305699,44,273,kernel_unified_attention_2d,44,293602402500924,293602402615386,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,96.0,standalone_attn_decode_tp8_128_1024_96_kernel_trace.csv,114.462
22,232,KERNEL_DISPATCH,4,2,1305699,45,273,kernel_unified_attention_2d,45,293602402742678,293602402857220,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,96.0,standalone_attn_decode_tp8_128_1024_96_kernel_trace.csv,114.542
23,233,KERNEL_DISPATCH,4,2,1305699,46,273,kernel_unified_attention_2d,46,293602402963824,293602403082696,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,96.0,standalone_attn_decode_tp8_128_1024_96_kernel_trace.csv,118.872
24,234,KERNEL_DISPATCH,4,2,1305699,47,273,kernel_unified_attention_2d,47,293602403187335,293602403307690,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,96.0,standalone_attn_decode_tp8_128_1024_96_kernel_trace.csv,120.355
25,277,KERNEL_DISPATCH,4,2,1304838,43,273,kernel_unified_attention_2d,43,293500203142217,293500203203277,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,304.0,standalone_attn_decode_tp8_128_1024_nan_kernel_trace.csv,61.06
26,278,KERNEL_DISPATCH,4,2,1304838,44,273,kernel_unified_attention_2d,44,293500221882094,293500221942873,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,304.0,standalone_attn_decode_tp8_128_1024_nan_kernel_trace.csv,60.779
27,279,KERNEL_DISPATCH,4,2,1304838,45,273,kernel_unified_attention_2d,45,293500222080147,293500222139442,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,304.0,standalone_attn_decode_tp8_128_1024_nan_kernel_trace.csv,59.295
28,280,KERNEL_DISPATCH,4,2,1304838,46,273,kernel_unified_attention_2d,46,293500222251379,293500222314643,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,304.0,standalone_attn_decode_tp8_128_1024_nan_kernel_trace.csv,63.264
29,281,KERNEL_DISPATCH,4,2,1304838,47,273,kernel_unified_attention_2d,47,293500222415915,293500222474930,0,20480,256,1,1,49152,1,1,decode,,,128.0,1024.0,304.0,standalone_attn_decode_tp8_128_1024_nan_kernel_trace.csv,59.015
30,324,KERNEL_DISPATCH,4,2,1307567,43,273,kernel_unified_attention_2d,43,293830863762434,293830863984221,0,20480,256,1,1,49152,1,1,decode,,,128.0,2048.0,128.0,standalone_attn_decode_tp8_128_2048_128_kernel_trace.csv,221.787
31,325,KERNEL_DISPATCH,4,2,1307567,44,273,kernel_unified_attention_2d,44,293830864315779,293830864534920,0,20480,256,1,1,49152,1,1,decode,,,128.0,2048.0,128.0,standalone_attn_decode_tp8_128_2048_128_kernel_trace.csv,219.141
32,326,KERNEL_DISPATCH,4,2,1307567,45,273,kernel_unified_attention_2d,45,293830864663815,293830864882796,0,20480,256,1,1,49152,1,1,decode,,,128.0,2048.0,128.0,standalone_attn_decode_tp8_128_2048_128_kernel_trace.csv,218.981
33,327,KERNEL_DISPATCH,4,2,1307567,46,273,kernel_unified_attention_2d,46,293830864989681,293830865213272,0,20480,256,1,1,49152,1,1,decode,,,128.0,2048.0,128.0,standalone_attn_decode_tp8_128_2048_128_kernel_trace.csv,223.591
34,328,KERNEL_DISPATCH,4,2,1307567,47,273,kernel_unified_attention_2d,47,293830865316629,293830865535409,0,20480,256,1,1,49152,1,1,decode,,,128.0,2048.0,128.0,standalone_attn_decode_tp8_128_2048_128_kernel_trace.csv,218.78
35,371,KERNEL_DISPATCH,4,2,1307845,43,273,kernel_unified_attention_2d,43,293864118926798,293864119040618,0,20480,256,1,1,49152,1,1,decode,,,128.0,2048.0,160.0,standalone_attn_decode_tp8_128_2048_160_kernel_trace.csv,113.82
36,372,KERNEL_DISPATCH,4,2,1307845,44,273,kernel_unified_attention_2d,44,293864119314684,293864119426540,0,20480,256,1,1,49152,1,1,decode,,,128.0,2048.0,160.0,standalone_attn_decode_tp8_128_2048_160_kernel_trace.csv,111.856
37,373,KERNEL_DISPATCH,4,2,1307845,45,273,kernel_unified_attention_2d,45,293864119558602,293864119670739,0,20480,256,1,1,49152,1,1,decode,,,128.0,2048.0,160.0,standalone_attn_decode_tp8_128_2048_160_kernel_trace.csv,112.137
38,374,KERNEL_DISPATCH,4,2,1307845,46,273,kernel_unified_attention_2d,46,293864119776180,293864119892406,0,20480,256,1,1,49152,1,1,decode,,,128.0,2048.0,160.0,standalone_attn_decode_tp8_128_2048_160_kernel_trace.csv,116.226
39,375,KERNEL_DISPATCH,4,2,1307845,47,273,kernel_unified_attention_2d,47,293864119992555,293864120103930,0,20480,256,1,1,49152,1,1,decode,,,128.0,2048.0,160.0,standalone_attn_decode_tp8_128_2048_160_kernel_trace.csv,111.375
40,418,KERNEL_DISPATCH,4,2,1306772,43,273,kernel_unified_attention_2d,43,293732194184707,293732194838683,0,20480,256,1,1,49152,1,1,decode,,,128.0,2048.0,32.0,standalone_attn_decode_tp8_128_2048_32_kernel_trace.csv,653.976
41,419,KERNEL_DISPATCH,4,2,1306772,44,273,kernel_unified_attention_2d,44,293732195138408,293732195789899,0,20480,256,1,1,49152,1,1,decode,,,128.0,2048.0,32.0,standalone_attn_decode_tp8_128_2048_32_kernel_trace.csv,651.491
