,cu_mask,decode_batch_size,decode_len,prefill_len,prefill_batch,prefill_avg_time,decode_avg_time
0,32.0,32,256,256,1,72.07166666666667,193.095
1,32.0,32,256,256,4,271.4476666666667,193.857
2,32.0,32,256,256,8,534.1953333333333,193.536
3,32.0,32,256,256,16,1075.487,196.51666666666665
4,32.0,32,256,256,32,2134.0693333333334,200.16466666666665
5,32.0,32,256,512,1,248.14133333333334,194.32466666666664
6,32.0,32,256,512,4,947.114,193.99033333333335
7,32.0,32,256,512,8,1891.3006666666668,213.38166666666666
8,32.0,32,256,512,16,3813.8056666666666,206.245
9,32.0,32,256,1024,1,963.4976666666666,205.80433333333335
10,32.0,32,256,1024,4,3599.9966666666664,209.30566666666667
11,32.0,32,256,1024,8,7219.625,199.59
12,32.0,32,256,2048,1,3590.6693333333333,208.28966666666665
13,32.0,32,256,2048,4,14022.403,194.07066666666665
14,32.0,32,256,2048,8,27923.674333333332,194.07066666666665
15,32.0,32,256,4096,1,14058.311333333333,194.20466666666667
16,32.0,32,256,4096,4,55027.140666666666,194.28433333333334
17,32.0,32,512,256,1,73.20766666666667,340.0983333333333
18,32.0,32,512,256,4,272.4766666666667,345.5506666666667
19,32.0,32,512,256,8,527.1656666666667,345.60433333333333
20,32.0,32,512,256,16,1085.23,350.02733333333333
21,32.0,32,512,256,32,2149.839,365.5693333333333
22,32.0,32,512,512,1,249.22366666666665,344.8156666666667
23,32.0,32,512,512,4,951.4033333333334,346.005
24,32.0,32,512,512,8,1907.0566666666668,361.5606666666667
25,32.0,32,512,512,16,3808.434,362.0416666666667
26,32.0,32,512,1024,1,957.618,356.2416666666667
27,32.0,32,512,1024,4,3595.186,373.6016666666667
28,32.0,32,512,1024,8,7235.769333333333,354.0363333333333
29,32.0,32,512,2048,1,3604.6476666666667,369.37833333333333
30,32.0,32,512,2048,4,14042.597666666667,346.1923333333333
31,32.0,32,512,2048,8,27946.851333333332,346.6996666666667
32,32.0,32,512,4096,1,14005.431666666665,346.00533333333334
33,32.0,32,512,4096,4,54954.967,345.577
