,kernel,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
0,2d,1,2048,128,1024,32.0,335.62100000000004,,,335.62100000000004,59.669999999999995,,,59.669999999999995
1,2d,1,2048,128,1024,32.0,335.62100000000004,,,335.62100000000004,,55.56733333333333,5.919999999999999,61.48733333333333
2,2d,1,2048,128,1024,304.0,59.669999999999995,,,59.669999999999995,59.669999999999995,,,59.669999999999995
3,2d,1,2048,128,1024,304.0,59.669999999999995,,,59.669999999999995,,55.56733333333333,5.919999999999999,61.48733333333333
4,2d,1,2048,128,2048,32.0,647.3613333333334,,,647.3613333333334,111.96300000000001,,,111.96300000000001
5,2d,1,2048,128,2048,32.0,647.3613333333334,,,647.3613333333334,,82.081,5.786666666666666,87.86766666666666
6,2d,1,2048,128,2048,304.0,111.96300000000001,,,111.96300000000001,111.96300000000001,,,111.96300000000001
7,2d,1,2048,128,2048,304.0,111.96300000000001,,,111.96300000000001,,82.081,5.786666666666666,87.86766666666666
8,2d,1,2048,128,256,32.0,101.57933333333334,,,101.57933333333334,20.941333333333333,,,20.941333333333333
9,2d,1,2048,128,256,32.0,101.57933333333334,,,101.57933333333334,,24.52266666666667,7.670999999999999,32.19366666666667
10,2d,1,2048,128,256,304.0,20.941333333333333,,,20.941333333333333,20.941333333333333,,,20.941333333333333
11,2d,1,2048,128,256,304.0,20.941333333333333,,,20.941333333333333,,24.52266666666667,7.670999999999999,32.19366666666667
12,2d,1,2048,128,4096,32.0,1271.0549999999998,,,1271.0549999999998,216.40166666666667,,,216.40166666666667
13,2d,1,2048,128,4096,32.0,1271.0549999999998,,,1271.0549999999998,,134.655,5.839666666666666,140.49466666666666
14,2d,1,2048,128,4096,304.0,216.40166666666667,,,216.40166666666667,216.40166666666667,,,216.40166666666667
15,2d,1,2048,128,4096,304.0,216.40166666666667,,,216.40166666666667,,134.655,5.839666666666666,140.49466666666666
16,2d,1,2048,128,512,32.0,179.62466666666663,,,179.62466666666663,33.04933333333333,,,33.04933333333333
17,2d,1,2048,128,512,32.0,179.62466666666663,,,179.62466666666663,,39.424,7.524,46.948
18,2d,1,2048,128,512,304.0,33.04933333333333,,,33.04933333333333,33.04933333333333,,,33.04933333333333
19,2d,1,2048,128,512,304.0,33.04933333333333,,,33.04933333333333,,39.424,7.524,46.948
20,2d,1,2048,16,1024,32.0,59.189,,,59.189,58.34633333333333,,,58.34633333333333
21,2d,1,2048,16,1024,32.0,59.189,,,59.189,,9.287999999999998,5.3053333333333335,14.593333333333332
22,2d,1,2048,16,1024,304.0,58.34633333333333,,,58.34633333333333,58.34633333333333,,,58.34633333333333
23,2d,1,2048,16,1024,304.0,58.34633333333333,,,58.34633333333333,,9.287999999999998,5.3053333333333335,14.593333333333332
24,2d,1,2048,16,2048,32.0,111.22833333333334,,,111.22833333333334,110.42633333333333,,,110.42633333333333
25,2d,1,2048,16,2048,32.0,111.22833333333334,,,111.22833333333334,,13.082999999999998,5.024333333333334,18.107333333333333
26,2d,1,2048,16,2048,304.0,110.42633333333333,,,110.42633333333333,110.42633333333333,,,110.42633333333333
27,2d,1,2048,16,2048,304.0,110.42633333333333,,,110.42633333333333,,13.082999999999998,5.024333333333334,18.107333333333333
28,2d,1,2048,16,256,32.0,19.81833333333333,,,19.81833333333333,19.25733333333333,,,19.25733333333333
29,2d,1,2048,16,256,32.0,19.81833333333333,,,19.81833333333333,,7.270333333333333,5.011666666666667,12.282
30,2d,1,2048,16,256,304.0,19.25733333333333,,,19.25733333333333,19.25733333333333,,,19.25733333333333
31,2d,1,2048,16,256,304.0,19.25733333333333,,,19.25733333333333,,7.270333333333333,5.011666666666667,12.282
32,2d,1,2048,16,4096,32.0,215.49300000000002,,,215.49300000000002,214.758,,,214.758
33,2d,1,2048,16,4096,32.0,215.49300000000002,,,215.49300000000002,,20.23333333333333,4.811333333333333,25.044666666666664
34,2d,1,2048,16,4096,304.0,214.758,,,214.758,214.758,,,214.758
35,2d,1,2048,16,4096,304.0,214.758,,,214.758,,20.23333333333333,4.811333333333333,25.044666666666664
36,2d,1,2048,16,512,32.0,33.156,,,33.156,32.10033333333333,,,32.10033333333333
37,2d,1,2048,16,512,32.0,33.156,,,33.156,,6.334666666666667,4.183,10.517666666666667
38,2d,1,2048,16,512,304.0,32.10033333333333,,,32.10033333333333,32.10033333333333,,,32.10033333333333
39,2d,1,2048,16,512,304.0,32.10033333333333,,,32.10033333333333,,6.334666666666667,4.183,10.517666666666667
40,2d,1,2048,1,1024,32.0,60.87266666666667,,,60.87266666666667,59.483000000000004,,,59.483000000000004
41,2d,1,2048,1,1024,32.0,60.87266666666667,,,60.87266666666667,,9.194,5.278666666666666,14.472666666666667
42,2d,1,2048,1,1024,304.0,59.483000000000004,,,59.483000000000004,59.483000000000004,,,59.483000000000004
43,2d,1,2048,1,1024,304.0,59.483000000000004,,,59.483000000000004,,9.194,5.278666666666666,14.472666666666667
44,2d,1,2048,1,2048,32.0,113.32566666666666,,,113.32566666666666,112.24333333333333,,,112.24333333333333
45,2d,1,2048,1,2048,32.0,113.32566666666666,,,113.32566666666666,,12.562,4.811,17.372999999999998
46,2d,1,2048,1,2048,304.0,112.24333333333333,,,112.24333333333333,112.24333333333333,,,112.24333333333333
47,2d,1,2048,1,2048,304.0,112.24333333333333,,,112.24333333333333,,12.562,4.811,17.372999999999998
48,2d,1,2048,1,256,32.0,21.689999999999998,,,21.689999999999998,19.792,,,19.792
49,2d,1,2048,1,256,32.0,21.689999999999998,,,21.689999999999998,,7.243333333333333,5.318666666666667,12.562000000000001
