,Unnamed: 0,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us,decode_in_isolation_us,prefill_in_isolation_us,baseline_avg_decode_duration_us,baseline_avg_prefill_duration_us,baseline_decode_in_isolation_us,baseline_prefill_in_isolation_us,avg_final_overlap_pct_nonzero
0,0,prefill_and_decode,16.0,1024.0,128.0,1024.0,128.0,,,,114.315,2759.875,117.32166666666666,2775.658,63.051,1650.6703333333337,60.52466666666667,1660.4529999999995,0.9111313698321154
1,1,prefill_and_decode,16.0,1024.0,128.0,1024.0,160.0,,,,60.217666666666666,3424.596666666667,61.24700000000001,3436.1560000000004,63.051,1650.6703333333337,60.52466666666667,1660.4529999999995,0.0
2,2,prefill_and_decode,16.0,1024.0,128.0,1024.0,32.0,,,,355.35966666666667,1805.184,340.0986666666667,1811.8793333333333,63.051,1650.6703333333337,60.52466666666667,1660.4529999999995,9.971023610754235
3,3,prefill_and_decode,16.0,1024.0,128.0,1024.0,64.0,,,,173.985,2006.5243333333333,172.381,2007.7806666666663,63.051,1650.6703333333337,60.52466666666667,1660.4529999999995,3.905912868424472
4,4,prefill_and_decode,16.0,1024.0,128.0,1024.0,96.0,,,,116.52033333333334,2323.476666666667,117.923,2334.6486666666665,63.051,1650.6703333333337,60.52466666666667,1660.4529999999995,1.0713967586963795
5,5,prefill_and_decode,16.0,1024.0,128.0,2048.0,128.0,,,,221.3596666666667,2761.091,220.45066666666665,2775.658,117.656,1672.1866666666667,112.31066666666668,1660.4529999999995,4.358174197777748
6,6,prefill_and_decode,16.0,1024.0,128.0,2048.0,160.0,,,,111.30833333333334,3421.9769999999994,113.246,3436.1560000000004,117.656,1672.1866666666667,112.31066666666668,1660.4529999999995,0.6884403739727648
7,7,prefill_and_decode,16.0,1024.0,128.0,2048.0,32.0,,,,689.8323333333334,1809.394,650.7286666666666,1811.8793333333333,117.656,1672.1866666666667,112.31066666666668,1660.4529999999995,21.140094338797663
8,8,prefill_and_decode,16.0,1024.0,128.0,2048.0,64.0,,,,334.7126666666666,2003.8786666666667,328.9393333333333,2007.7806666666663,117.656,1672.1866666666667,112.31066666666668,1660.4529999999995,8.75728786106081
9,9,prefill_and_decode,16.0,1024.0,128.0,2048.0,96.0,,,,221.9476666666667,2321.525666666667,223.13733333333332,2334.6486666666665,117.656,1672.1866666666667,112.31066666666668,1660.4529999999995,5.273136453843312
10,10,prefill_and_decode,16.0,1024.0,128.0,256.0,128.0,,,,35.855333333333334,2760.6766666666667,37.13833333333333,2775.658,20.21933333333333,1622.1516666666666,20.995,1660.4529999999995,0.0
11,11,prefill_and_decode,16.0,1024.0,128.0,256.0,160.0,,,,19.805333333333337,3420.239333333333,20.714,3436.1560000000004,20.21933333333333,1622.1516666666666,20.995,1660.4529999999995,0.0
12,12,prefill_and_decode,16.0,1024.0,128.0,256.0,32.0,,,,106.48366666666668,1805.8253333333332,105.52133333333336,1811.8793333333333,20.21933333333333,1622.1516666666666,20.995,1660.4529999999995,0.9430534910274951
13,13,prefill_and_decode,16.0,1024.0,128.0,256.0,64.0,,,,53.08133333333333,2009.01,56.36866666666666,2007.7806666666663,20.21933333333333,1622.1516666666666,20.995,1660.4529999999995,0.0
14,14,prefill_and_decode,16.0,1024.0,128.0,256.0,96.0,,,,35.94866666666667,2322.207,38.488,2334.6486666666665,20.21933333333333,1622.1516666666666,20.995,1660.4529999999995,0.0
15,15,prefill_and_decode,16.0,1024.0,128.0,4096.0,128.0,,,,433.31166666666667,2762.1873333333333,431.28,2775.658,230.95466666666667,1718.1046666666668,217.63133333333332,1660.4529999999995,10.04903259613367
16,16,prefill_and_decode,16.0,1024.0,128.0,4096.0,160.0,,,,218.7673333333333,3423.6343333333334,221.09233333333336,3436.1560000000004,230.95466666666667,1718.1046666666668,217.63133333333332,1660.4529999999995,3.6975490678435095
17,17,prefill_and_decode,16.0,1024.0,128.0,4096.0,32.0,,,,1370.429,1820.4856666666667,1277.188666666667,1811.8793333333333,230.95466666666667,1718.1046666666668,217.63133333333332,1660.4529999999995,36.26843744947773
18,18,prefill_and_decode,16.0,1024.0,128.0,4096.0,64.0,,,,659.4423333333333,2003.5046666666667,643.2986666666667,2007.7806666666663,230.95466666666667,1718.1046666666668,217.63133333333332,1660.4529999999995,19.893775744678468
19,19,prefill_and_decode,16.0,1024.0,128.0,4096.0,96.0,,,,435.36966666666666,2324.826,431.494,2334.6486666666665,230.95466666666667,1718.1046666666668,217.63133333333332,1660.4529999999995,11.096730450017748
20,20,prefill_and_decode,16.0,1024.0,128.0,512.0,128.0,,,,63.011,2762.427333333333,64.935,2775.658,34.278333333333336,1626.6153333333332,34.50566666666666,1660.4529999999995,0.0
21,21,prefill_and_decode,16.0,1024.0,128.0,512.0,160.0,,,,32.260333333333335,3421.91,32.80833333333334,3436.1560000000004,34.278333333333336,1626.6153333333332,34.50566666666666,1660.4529999999995,0.0
22,22,prefill_and_decode,16.0,1024.0,128.0,512.0,32.0,,,,185.331,1791.098,182.44366666666667,1811.8793333333333,34.278333333333336,1626.6153333333332,34.50566666666666,1660.4529999999995,5.034983611366716
23,23,prefill_and_decode,16.0,1024.0,128.0,512.0,64.0,,,,92.532,2003.1436666666664,93.21266666666666,2007.7806666666663,34.278333333333336,1626.6153333333332,34.50566666666666,1660.4529999999995,0.33552698746855447
24,24,prefill_and_decode,16.0,1024.0,128.0,512.0,96.0,,,,62.035,2322.287,63.31833333333333,2334.6486666666665,34.278333333333336,1626.6153333333332,34.50566666666666,1660.4529999999995,0.0
25,25,prefill_and_decode,16.0,1024.0,128.0,8192.0,128.0,,,,859.4996666666666,2766.5303333333336,873.1176666666667,2775.658,456.4716666666666,1814.5116666666663,431.4266666666667,1660.4529999999995,21.66513377704294
26,26,prefill_and_decode,16.0,1024.0,128.0,8192.0,160.0,,,,431.454,3427.843666666666,432.456,3436.1560000000004,456.4716666666666,1814.5116666666663,431.4266666666667,1660.4529999999995,7.9890813733092445
27,27,prefill_and_decode,16.0,1024.0,128.0,8192.0,32.0,,,,2628.654666666667,1800.2526666666663,2531.030666666667,1811.8793333333333,456.4716666666666,1814.5116666666663,431.4266666666667,1660.4529999999995,39.35588190864745
