,_orig,Kind,Agent_Id,Queue_Id,Thread_Id,Dispatch_Id,Kernel_Id,Kernel_Name,Correlation_Id,Start_Timestamp,End_Timestamp,Private_Segment_Size,Group_Segment_Size,Workgroup_Size_X,Workgroup_Size_Y,Workgroup_Size_Z,Grid_Size_X,Grid_Size_Y,Grid_Size_Z,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,source_file,duration_us
0,42,KERNEL_DISPATCH,7,2,203023,43,273,kernel_unified_attention_2d,43,270611927066532,270611927807829,0,20480,256,1,1,49152,8,1,decode,1,1024,128,256,32,standalone_attn_decode_1.0_1024.0_128.0_256.0_32.0_kernel_trace.csv,741.297
1,43,KERNEL_DISPATCH,7,2,203023,44,273,kernel_unified_attention_2d,44,270611928074879,270611928829686,0,20480,256,1,1,49152,8,1,decode,1,1024,128,256,32,standalone_attn_decode_1.0_1024.0_128.0_256.0_32.0_kernel_trace.csv,754.807
2,44,KERNEL_DISPATCH,7,2,203023,45,273,kernel_unified_attention_2d,45,270611928956255,270611929694504,0,20480,256,1,1,49152,8,1,decode,1,1024,128,256,32,standalone_attn_decode_1.0_1024.0_128.0_256.0_32.0_kernel_trace.csv,738.249
3,45,KERNEL_DISPATCH,7,2,203023,46,273,kernel_unified_attention_2d,46,270611929802391,270611930556557,0,20480,256,1,1,49152,8,1,decode,1,1024,128,256,32,standalone_attn_decode_1.0_1024.0_128.0_256.0_32.0_kernel_trace.csv,754.166
4,46,KERNEL_DISPATCH,7,2,203023,47,273,kernel_unified_attention_2d,47,270611930662118,270611931422659,0,20480,256,1,1,49152,8,1,decode,1,1024,128,256,32,standalone_attn_decode_1.0_1024.0_128.0_256.0_32.0_kernel_trace.csv,760.541
5,89,KERNEL_DISPATCH,7,2,269751,43,273,kernel_unified_attention_2d,43,278126496401590,278126497716679,0,20480,256,1,1,49152,8,1,decode,1,1024,128,512,32,standalone_attn_decode_1.0_1024.0_128.0_512.0_32.0_kernel_trace.csv,1315.089
6,90,KERNEL_DISPATCH,7,2,269751,44,273,kernel_unified_attention_2d,44,278126497980802,278126499293245,0,20480,256,1,1,49152,8,1,decode,1,1024,128,512,32,standalone_attn_decode_1.0_1024.0_128.0_512.0_32.0_kernel_trace.csv,1312.443
7,91,KERNEL_DISPATCH,7,2,269751,45,273,kernel_unified_attention_2d,45,278126499420176,278126500775276,0,20480,256,1,1,49152,8,1,decode,1,1024,128,512,32,standalone_attn_decode_1.0_1024.0_128.0_512.0_32.0_kernel_trace.csv,1355.1
8,92,KERNEL_DISPATCH,7,2,269751,46,273,kernel_unified_attention_2d,46,278126500882361,278126502198212,0,20480,256,1,1,49152,8,1,decode,1,1024,128,512,32,standalone_attn_decode_1.0_1024.0_128.0_512.0_32.0_kernel_trace.csv,1315.851
9,93,KERNEL_DISPATCH,7,2,269751,47,273,kernel_unified_attention_2d,47,278126502303734,278126503612729,0,20480,256,1,1,49152,8,1,decode,1,1024,128,512,32,standalone_attn_decode_1.0_1024.0_128.0_512.0_32.0_kernel_trace.csv,1308.995
10,136,KERNEL_DISPATCH,7,2,214844,43,273,kernel_unified_attention_2d,43,272142498326404,272142499812244,0,20480,256,1,1,98304,8,1,decode,1,1024,256,256,32,standalone_attn_decode_1.0_1024.0_256.0_256.0_32.0_kernel_trace.csv,1485.84
11,137,KERNEL_DISPATCH,7,2,214844,44,273,kernel_unified_attention_2d,44,272142500084586,272142501564291,0,20480,256,1,1,98304,8,1,decode,1,1024,256,256,32,standalone_attn_decode_1.0_1024.0_256.0_256.0_32.0_kernel_trace.csv,1479.705
12,138,KERNEL_DISPATCH,7,2,214844,45,273,kernel_unified_attention_2d,45,272142501694269,272142503209937,0,20480,256,1,1,98304,8,1,decode,1,1024,256,256,32,standalone_attn_decode_1.0_1024.0_256.0_256.0_32.0_kernel_trace.csv,1515.668
13,139,KERNEL_DISPATCH,7,2,214844,46,273,kernel_unified_attention_2d,46,272142503321833,272142504797048,0,20480,256,1,1,98304,8,1,decode,1,1024,256,256,32,standalone_attn_decode_1.0_1024.0_256.0_256.0_32.0_kernel_trace.csv,1475.215
14,140,KERNEL_DISPATCH,7,2,214844,47,273,kernel_unified_attention_2d,47,272142504905015,272142506379268,0,20480,256,1,1,98304,8,1,decode,1,1024,256,256,32,standalone_attn_decode_1.0_1024.0_256.0_256.0_32.0_kernel_trace.csv,1474.253
15,183,KERNEL_DISPATCH,7,2,291720,43,273,kernel_unified_attention_2d,43,279590799311032,279590801940248,0,20480,256,1,1,98304,8,1,decode,1,1024,256,512,32,standalone_attn_decode_1.0_1024.0_256.0_512.0_32.0_kernel_trace.csv,2629.216
16,184,KERNEL_DISPATCH,7,2,291720,44,273,kernel_unified_attention_2d,44,279590802210947,279590804901663,0,20480,256,1,1,98304,8,1,decode,1,1024,256,512,32,standalone_attn_decode_1.0_1024.0_256.0_512.0_32.0_kernel_trace.csv,2690.716
17,185,KERNEL_DISPATCH,7,2,291720,45,273,kernel_unified_attention_2d,45,279590805031841,279590807654763,0,20480,256,1,1,98304,8,1,decode,1,1024,256,512,32,standalone_attn_decode_1.0_1024.0_256.0_512.0_32.0_kernel_trace.csv,2622.922
18,186,KERNEL_DISPATCH,7,2,291720,46,273,kernel_unified_attention_2d,46,279590807764293,279590810386413,0,20480,256,1,1,98304,8,1,decode,1,1024,256,512,32,standalone_attn_decode_1.0_1024.0_256.0_512.0_32.0_kernel_trace.csv,2622.12
19,187,KERNEL_DISPATCH,7,2,291720,47,273,kernel_unified_attention_2d,47,279590810496344,279590813117702,0,20480,256,1,1,98304,8,1,decode,1,1024,256,512,32,standalone_attn_decode_1.0_1024.0_256.0_512.0_32.0_kernel_trace.csv,2621.358
20,230,KERNEL_DISPATCH,7,2,157907,43,273,kernel_unified_attention_2d,43,267596611710246,267596611897034,0,20480,256,1,1,12288,8,1,decode,1,1024,32,256,32,standalone_attn_decode_1.0_1024.0_32.0_256.0_32.0_kernel_trace.csv,186.788
21,231,KERNEL_DISPATCH,7,2,157907,44,273,kernel_unified_attention_2d,44,267596612170498,267596612371679,0,20480,256,1,1,12288,8,1,decode,1,1024,32,256,32,standalone_attn_decode_1.0_1024.0_32.0_256.0_32.0_kernel_trace.csv,201.181
