,prefill_batch,prefill_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_prefill_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_prefill_duration_us_baseline
0,16,1024,128.0,2775.658,,,2775.658,1660.4529999999997,,,1660.4529999999997
1,16,1024,160.0,3436.1560000000004,,,3436.1560000000004,1660.4529999999997,,,1660.4529999999997
2,16,1024,32.0,1811.8793333333333,,,1811.8793333333333,1660.4529999999997,,,1660.4529999999997
3,16,1024,64.0,2007.7806666666665,,,2007.7806666666665,1660.4529999999997,,,1660.4529999999997
4,16,1024,96.0,2334.6486666666665,,,2334.6486666666665,1660.4529999999997,,,1660.4529999999997
5,16,1024,304.0,1660.4529999999997,,,1660.4529999999997,1660.4529999999997,,,1660.4529999999997
6,16,2048,128.0,10755.209666666668,,,10755.209666666668,6302.955666666666,,,6302.955666666666
7,16,2048,160.0,13331.664999999999,,,13331.664999999999,6302.955666666666,,,6302.955666666666
8,16,2048,32.0,6837.231666666667,,,6837.231666666667,6302.955666666666,,,6302.955666666666
9,16,2048,64.0,7757.109333333334,,,7757.109333333334,6302.955666666666,,,6302.955666666666
10,16,2048,96.0,8930.822,,,8930.822,6302.955666666666,,,6302.955666666666
11,16,2048,304.0,6302.955666666666,,,6302.955666666666,6302.955666666666,,,6302.955666666666
12,16,256,128.0,224.34,,,224.34,123.817,,,123.817
13,16,256,160.0,273.1046666666667,,,273.1046666666667,123.817,,,123.817
14,16,256,32.0,139.66666666666666,,,139.66666666666666,123.817,,,123.817
15,16,256,64.0,157.641,,,157.641,123.817,,,123.817
16,16,256,96.0,189.80766666666668,,,189.80766666666668,123.817,,,123.817
17,16,256,304.0,123.817,,,123.817,123.817,,,123.817
18,16,4096,128.0,42087.49,,,42087.49,24687.743333333332,,,24687.743333333332
19,16,4096,160.0,52229.295333333335,,,52229.295333333335,24687.743333333332,,,24687.743333333332
20,16,4096,32.0,26978.717999999997,,,26978.717999999997,24687.743333333332,,,24687.743333333332
21,16,4096,64.0,30299.543333333335,,,30299.543333333335,24687.743333333332,,,24687.743333333332
22,16,4096,96.0,35144.015666666666,,,35144.015666666666,24687.743333333332,,,24687.743333333332
23,16,4096,304.0,24687.743333333332,,,24687.743333333332,24687.743333333332,,,24687.743333333332
24,16,512,128.0,757.1723333333333,,,757.1723333333333,437.08,,,437.08
25,16,512,160.0,946.7263333333334,,,946.7263333333334,437.08,,,437.08
26,16,512,32.0,498.15299999999996,,,498.15299999999996,437.08,,,437.08
27,16,512,64.0,551.3816666666667,,,551.3816666666667,437.08,,,437.08
28,16,512,96.0,645.557,,,645.557,437.08,,,437.08
29,16,512,304.0,437.08,,,437.08,437.08,,,437.08
30,16,8192,128.0,166930.547,,,166930.547,98689.75233333332,,,98689.75233333332
31,16,8192,160.0,207767.97066666666,,,207767.97066666666,98689.75233333332,,,98689.75233333332
32,16,8192,32.0,107251.38299999999,,,107251.38299999999,98689.75233333332,,,98689.75233333332
33,16,8192,64.0,120324.07966666667,,,120324.07966666667,98689.75233333332,,,98689.75233333332
34,16,8192,96.0,139642.52233333333,,,139642.52233333333,98689.75233333332,,,98689.75233333332
35,16,8192,304.0,98689.75233333332,,,98689.75233333332,98689.75233333332,,,98689.75233333332
36,1,1024,128.0,233.13333333333335,,,233.13333333333335,122.28000000000002,,,122.28000000000002
37,1,1024,160.0,235.47233333333335,,,235.47233333333335,122.28000000000002,,,122.28000000000002
38,1,1024,32.0,120.529,,,120.529,122.28000000000002,,,122.28000000000002
39,1,1024,64.0,178.75566666666668,,,178.75566666666668,122.28000000000002,,,122.28000000000002
