,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_us,avg_decode_duration_us,avg_prefill_duration_us
0,decode,1,1024,128,1024,128.0,564.9323333333333,,
1,decode,1,1024,128,1024,32.0,2478.658,,
2,decode,1,1024,128,1024,64.0,1255.2856666666667,,
3,decode,1,1024,128,1024,304.0,232.73266666666666,,
4,decode,1,1024,128,2048,128.0,1110.875,,
5,decode,1,1024,128,2048,32.0,4791.698333333334,,
6,decode,1,1024,128,2048,64.0,2381.4893333333334,,
7,decode,1,1024,128,2048,304.0,450.805,,
8,decode,1,1024,128,256,128.0,171.25833333333333,,
9,decode,1,1024,128,256,32.0,750.9853333333334,,
10,decode,1,1024,128,256,64.0,371.19599999999997,,
11,decode,1,1024,128,256,304.0,72.65966666666667,,
12,decode,1,1024,128,4096,128.0,2139.5490000000004,,
13,decode,1,1024,128,4096,32.0,9411.826333333334,,
14,decode,1,1024,128,4096,64.0,4674.134333333333,,
15,decode,1,1024,128,4096,304.0,887.4573333333334,,
16,decode,1,1024,128,512,128.0,302.666,,
17,decode,1,1024,128,512,32.0,1326.6486666666667,,
18,decode,1,1024,128,512,64.0,658.3059999999999,,
19,decode,1,1024,128,512,304.0,125.62066666666665,,
20,decode,1,1024,256,1024,128.0,1151.0996666666667,,
21,decode,1,1024,256,1024,32.0,4923.852333333333,,
22,decode,1,1024,256,1024,64.0,2465.668,,
23,decode,1,1024,256,1024,304.0,462.71233333333333,,
24,decode,1,1024,256,2048,128.0,2176.446,,
25,decode,1,1024,256,2048,32.0,9515.080333333333,,
26,decode,1,1024,256,2048,64.0,4762.738,,
27,decode,1,1024,256,2048,304.0,902.9193333333333,,
28,decode,1,1024,256,256,128.0,341.9023333333333,,
29,decode,1,1024,256,256,32.0,1488.3786666666665,,
30,decode,1,1024,256,256,64.0,745.0646666666668,,
31,decode,1,1024,256,256,304.0,141.76433333333333,,
32,decode,1,1024,256,4096,128.0,4294.854666666666,,
33,decode,1,1024,256,4096,32.0,18708.857333333333,,
34,decode,1,1024,256,4096,64.0,9375.558666666666,,
35,decode,1,1024,256,4096,304.0,1811.3316666666667,,
36,decode,1,1024,256,512,128.0,603.9023333333333,,
37,decode,1,1024,256,512,32.0,2622.133333333333,,
38,decode,1,1024,256,512,64.0,1323.923,,
39,decode,1,1024,256,512,304.0,248.24800000000002,,
40,decode,1,1024,32,1024,128.0,170.05566666666667,,
41,decode,1,1024,32,1024,32.0,645.2763333333334,,
42,decode,1,1024,32,1024,64.0,336.8643333333334,,
43,decode,1,1024,32,1024,304.0,60.512,,
44,decode,1,1024,32,2048,128.0,327.36199999999997,,
45,decode,1,1024,32,2048,32.0,1244.6213333333333,,
46,decode,1,1024,32,2048,64.0,650.5153333333333,,
47,decode,1,1024,32,2048,304.0,113.39299999999999,,
48,decode,1,1024,32,256,128.0,51.678333333333335,,
49,decode,1,1024,32,256,32.0,189.9813333333333,,
50,decode,1,1024,32,256,64.0,101.19133333333333,,
51,decode,1,1024,32,256,304.0,20.326333333333334,,
52,decode,1,1024,32,4096,128.0,653.1743333333334,,
53,decode,1,1024,32,4096,32.0,2405.156333333333,,
54,decode,1,1024,32,4096,64.0,1298.1436666666666,,
55,decode,1,1024,32,4096,304.0,221.53366666666668,,
56,decode,1,1024,32,512,128.0,91.26233333333333,,
57,decode,1,1024,32,512,32.0,337.57199999999995,,
58,decode,1,1024,32,512,64.0,179.771,,
59,decode,1,1024,32,512,304.0,33.43633333333333,,
60,decode,1,1024,512,1024,128.0,2274.1486666666665,,
61,decode,1,1024,512,1024,32.0,9851.368666666667,,
62,decode,1,1024,512,1024,64.0,4930.508666666667,,
63,decode,1,1024,512,1024,304.0,879.8393333333333,,
64,decode,1,1024,512,2048,128.0,4405.547666666666,,
65,decode,1,1024,512,2048,32.0,19012.934666666668,,
66,decode,1,1024,512,2048,64.0,9555.879333333332,,
67,decode,1,1024,512,2048,304.0,1716.7143333333333,,
68,decode,1,1024,512,256,128.0,694.2023333333333,,
69,decode,1,1024,512,256,32.0,2958.8236666666667,,
70,decode,1,1024,512,256,64.0,1496.8783333333333,,
71,decode,1,1024,512,256,304.0,265.71433333333334,,
72,decode,1,1024,512,4096,128.0,8698.585333333333,,
73,decode,1,1024,512,4096,32.0,37464.61033333334,,
74,decode,1,1024,512,4096,64.0,18768.009000000002,,
75,decode,1,1024,512,4096,304.0,3344.3056666666666,,
76,decode,1,1024,512,512,128.0,1220.7936666666667,,
77,decode,1,1024,512,512,32.0,5243.103666666667,,
78,decode,1,1024,512,512,64.0,2621.064,,
79,decode,1,1024,512,512,304.0,466.454,,
80,decode,1,1024,64,1024,128.0,283.52866666666665,,
81,decode,1,1024,64,1024,32.0,1270.36,,
82,decode,1,1024,64,1024,64.0,628.5716666666667,,
83,decode,1,1024,64,1024,304.0,118.23066666666666,,
84,decode,1,1024,64,2048,128.0,545.929,,
85,decode,1,1024,64,2048,32.0,2412.9883333333332,,
86,decode,1,1024,64,2048,64.0,1212.5746666666666,,
87,decode,1,1024,64,2048,304.0,225.56966666666668,,
88,decode,1,1024,64,256,128.0,86.30433333333333,,
89,decode,1,1024,64,256,32.0,373.8286666666667,,
90,decode,1,1024,64,256,64.0,185.95900000000003,,
91,decode,1,1024,64,256,304.0,37.592666666666666,,
92,decode,1,1024,64,4096,128.0,1091.2833333333335,,
93,decode,1,1024,64,4096,32.0,4741.3820000000005,,
94,decode,1,1024,64,4096,64.0,2339.0323333333336,,
95,decode,1,1024,64,4096,304.0,440.6353333333334,,
96,decode,1,1024,64,512,128.0,152.12199999999999,,
97,decode,1,1024,64,512,32.0,667.2330000000001,,
98,decode,1,1024,64,512,64.0,329.38,,
99,decode,1,1024,64,512,304.0,63.812666666666665,,
100,decode,1,2048,128,1024,128.0,566.2953333333334,,
101,decode,1,2048,128,1024,32.0,2479.848,,
102,decode,1,2048,128,1024,64.0,1255.032,,
103,decode,1,2048,128,1024,304.0,232.57233333333332,,
104,decode,1,2048,128,2048,128.0,1110.9416666666666,,
105,decode,1,2048,128,2048,32.0,4791.083666666666,,
106,decode,1,2048,128,2048,64.0,2380.3663333333334,,
107,decode,1,2048,128,2048,304.0,446.11366666666663,,
108,decode,1,2048,128,256,128.0,306.9693333333333,,
109,decode,1,2048,128,256,32.0,754.7406666666667,,
110,decode,1,2048,128,256,64.0,371.597,,
111,decode,1,2048,128,256,304.0,73.02033333333333,,
112,decode,1,2048,128,4096,128.0,2140.6446666666666,,
113,decode,1,2048,128,4096,32.0,9409.714999999998,,
114,decode,1,2048,128,4096,64.0,4675.377666666666,,
115,decode,1,2048,128,4096,304.0,897.734,,
116,decode,1,2048,128,512,128.0,302.84,,
117,decode,1,2048,128,512,32.0,1319.072,,
118,decode,1,2048,128,512,64.0,658.1056666666667,,
119,decode,1,2048,128,512,304.0,126.59666666666665,,
120,decode,1,2048,256,1024,128.0,1143.215,,
121,decode,1,2048,256,1024,32.0,4924.374333333333,,
122,decode,1,2048,256,1024,64.0,2466.377,,
123,decode,1,2048,256,1024,304.0,462.9793333333334,,
124,decode,1,2048,256,2048,128.0,2180.0006666666663,,
125,decode,1,2048,256,2048,32.0,9512.915,,
126,decode,1,2048,256,2048,64.0,4766.866999999999,,
127,decode,1,2048,256,2048,304.0,907.7703333333334,,
128,decode,1,2048,256,256,128.0,341.9026666666667,,
129,decode,1,2048,256,256,32.0,1487.9779999999998,,
130,decode,1,2048,256,256,64.0,743.2073333333333,,
131,decode,1,2048,256,256,304.0,142.08533333333335,,
132,decode,1,2048,256,4096,128.0,4293.024,,
133,decode,1,2048,256,4096,32.0,18710.100000000002,,
134,decode,1,2048,256,4096,64.0,9376.560666666666,,
135,decode,1,2048,256,4096,304.0,1798.060666666667,,
136,decode,1,2048,256,512,128.0,604.1696666666667,,
137,decode,1,2048,256,512,32.0,2621.1569999999997,,
138,decode,1,2048,256,512,64.0,1528.2703333333332,,
139,decode,1,2048,256,512,304.0,249.237,,
140,decode,1,2048,32,1024,128.0,170.22966666666667,,
141,decode,1,2048,32,1024,32.0,632.5403333333334,,
142,decode,1,2048,32,1024,64.0,337.4253333333333,,
143,decode,1,2048,32,1024,304.0,59.65633333333333,,
144,decode,1,2048,32,2048,128.0,327.068,,
145,decode,1,2048,32,2048,32.0,1245.53,,
146,decode,1,2048,32,2048,64.0,661.9409999999999,,
147,decode,1,2048,32,2048,304.0,114.609,,
148,decode,1,2048,32,256,128.0,51.26433333333333,,
149,decode,1,2048,32,256,32.0,189.87466666666668,,
150,decode,1,2048,32,256,64.0,101.20466666666665,,
151,decode,1,2048,32,256,304.0,20.219333333333335,,
152,decode,1,2048,32,4096,128.0,653.1743333333333,,
153,decode,1,2048,32,4096,32.0,2406.8799999999997,,
154,decode,1,2048,32,4096,64.0,1288.2546666666667,,
155,decode,1,2048,32,4096,304.0,221.02599999999998,,
156,decode,1,2048,32,512,128.0,91.16866666666665,,
157,decode,1,2048,32,512,32.0,337.8533333333333,,
158,decode,1,2048,32,512,64.0,179.49099999999999,,
159,decode,1,2048,32,512,304.0,33.303333333333335,,
160,decode,1,2048,512,1024,128.0,2275.3653333333336,,
161,decode,1,2048,512,1024,32.0,9836.588333333335,,
162,decode,1,2048,512,1024,64.0,4915.794666666667,,
163,decode,1,2048,512,1024,304.0,880.4276666666668,,
164,decode,1,2048,512,2048,128.0,4400.375,,
165,decode,1,2048,512,2048,32.0,19081.555666666667,,
166,decode,1,2048,512,2048,64.0,9515.572999999999,,
