,Unnamed: 0,index,cu_mask,decode_batch_size,decode_len,prefill_len,prefill_batch,queue1_start,queue1_end,queue2_start,queue2_end,q1_dur,q2_dur,overlap_us,pct_of_q1,pct_of_q2
0,0,0,32.0,32,256,256,1,266822988432054,266822988503979,266822988349666,266822988537295,71925,187629,71925,100.0,38.333626464992086
1,1,1,32.0,32,256,256,4,266921357381093,266921357653436,266921357301754,266921357490426,272343,188672,109333,40.145331438663746,57.94871523066486
2,2,2,32.0,32,256,256,8,267016584664883,267016585213538,267016584584780,267016584772770,548655,187990,107887,19.66390536858317,57.389754774190116
3,3,3,32.0,32,256,256,16,267102721168579,267102722262762,267102721088596,267102721277789,1094183,189193,109210,9.980962965061604,57.72412298552272
4,4,4,32.0,32,256,256,32,267187081383005,267187083504740,267187081303103,267187081497828,2121735,194725,114823,5.411750289267981,58.96674797791758
5,5,5,32.0,32,256,512,1,267272857611727,267272857860216,267272857530983,267272857719735,248489,188752,108008,43.46590794763551,57.222175129270155
6,6,6,32.0,32,256,512,4,267359534785105,267359535724294,267359534704320,267359534892310,939189,187990,107205,11.414635392876194,57.0269695196553
7,7,7,32.0,32,256,512,8,267446950320242,267446952195132,267446950237493,267446950433902,1874890,196409,113660,6.0622223170425995,57.869038587844756
8,8,8,32.0,32,256,512,16,267536474153418,267536477934509,267536474069747,267536474265595,3781091,195848,112177,2.9667892150704653,57.27758261508925
9,9,9,32.0,32,256,1024,1,267627994408325,267627995372251,267627994326257,267627994545319,963926,219062,136994,14.21208681994261,62.536633464498635
10,10,10,32.0,32,256,1024,4,267721160234384,267721163832456,267721160150713,267721160350450,3598072,199737,116066,3.225783141638077,58.109413879251214
11,11,11,32.0,32,256,1024,8,267815379295442,267815386468614,267815379212251,267815379405133,7173172,192882,109691,1.5291840206815062,56.86948497008534
12,12,12,32.0,32,256,2048,1,267907499157313,267907502758994,267907499075027,267907499276528,3601681,201501,119215,3.3099821999782875,59.16347809688289
13,13,13,32.0,32,256,2048,4,267999277641468,267999291688647,267999277558478,267999277747230,14047179,188752,105762,0.7529056189858476,56.03225396287191
14,14,14,32.0,32,256,2048,8,268089245186904,268089273175380,268089245096737,268089245285329,27988476,188592,98425,0.3516625914179822,52.189382370408076
15,15,15,32.0,32,256,4096,1,268176969752940,268176983785325,268176969668426,268176969857018,14032385,188592,104078,0.7416985779680361,55.1868584033257
16,16,16,32.0,32,256,4096,4,268265931993854,268265987009929,268265931913602,268265932102634,55016075,189032,108780,0.19772402884066156,57.54581234923187
17,17,17,32.0,32,512,256,1,274415750673937,274415750746984,274415750591348,274415750922265,73047,330917,73047,100.0,22.07411526153084
18,18,18,32.0,32,512,256,4,274499280690686,274499280963229,274499280610101,274499280946150,272543,336049,255464,93.73346591180108,76.0198661504721
19,19,19,32.0,32,512,256,8,274583135031592,274583135558557,274583134944512,274583135279920,526965,335408,248328,47.12419230878711,74.03759003959357
20,20,20,32.0,32,512,256,16,274665234155956,274665235216303,274665234077056,274665234413907,1060347,336851,257951,24.327036338104413,76.577181008814
21,21,21,32.0,32,512,256,32,274748176939837,274748179087351,274748176859814,274748177207369,2147514,347555,267532,12.457753476810861,76.97544273568212
22,22,22,32.0,32,512,512,1,274831983047508,274831983297280,274831982966202,274831983301008,249772,334806,249772,100.0,74.60200832721038
23,23,23,32.0,32,512,512,4,274915436949784,274915437904809,274915436867436,274915437203084,955025,335648,253300,26.522865893562997,75.46596434359806
24,24,24,32.0,32,512,512,8,274999160781294,274999162669053,274999160699226,274999161051151,1887759,351925,269857,14.295098050121863,76.68025857782197
25,25,25,32.0,32,512,512,16,275082092221668,275082095998189,275082092136674,275082092479257,3776521,342583,257589,6.820801473101831,75.19024586742484
26,26,26,32.0,32,512,1024,1,275165539651722,275165540609193,275165539621894,275165539986288,957471,364394,334566,34.94267711502489,91.8143547917913
27,27,27,32.0,32,512,1024,4,275249165481677,275249169067402,275249165399930,275249165756025,3585725,356095,274348,7.651116580328942,77.04348558671141
28,28,28,32.0,32,512,1024,8,275331757991985,275331765227821,275331757910278,275331758255107,7235836,344829,263122,3.6363731847985497,76.3050671492247
29,29,29,32.0,32,512,2048,1,275415574607366,275415578185513,275415574527143,275415574872333,3578147,345190,264967,7.405145736047178,76.75975549697269
30,30,30,32.0,32,512,2048,4,275498633354959,275498647419420,275498633270927,275498633607016,14064461,336089,252057,1.7921554192514024,74.99709898270994
31,31,31,32.0,32,512,2048,8,275593424423055,275593452385034,275593424340306,275593424676475,27961979,336169,253420,0.9063020897054532,75.38470233721729
32,32,32,32.0,32,512,4096,1,275688625408490,275688639452102,275688625355689,275688625691537,14043612,335848,283047,2.01548575964645,84.27830447107024
33,33,33,32.0,32,512,4096,4,275785262981223,275785317994738,275785262901926,275785263237413,55013515,335487,256190,0.4656855683553396,76.36361468551688
34,34,34,32.0,32,1024,256,1,281832287784012,281832287857220,281832287701624,281832288319638,73208,618014,73208,100.0,11.845686343675062
35,35,35,32.0,32,1024,256,4,281919453539546,281919453812410,281919453461727,281919454085755,272864,624028,272864,100.0,43.72624305319633
36,36,36,32.0,32,1024,256,8,282014187726440,282014188254248,282014187643330,282014188274174,527808,630844,527808,100.0,83.66696045298045
37,37,37,32.0,32,1024,256,16,282109750049474,282109751110061,282109750020889,282109750653938,1060587,633049,604464,56.99334425181527,95.48455174875879
38,38,38,32.0,32,1024,256,32,282199232930393,282199235060387,282199232847844,282199233491276,2129994,643432,560883,26.33260938763208,87.17051685337378
39,39,39,32.0,32,1024,512,1,282289912627724,282289912877415,282289912547540,282289913170325,249691,622785,249691,100.0,40.09264834573729
40,40,40,32.0,32,1024,512,4,282379684126259,282379685099125,282379684044832,282379684715166,972866,670334,588907,60.53320806770922,87.85277190176836
41,41,41,32.0,32,1024,512,8,282469805176012,282469807061847,282469805092661,282469805743390,1885835,650729,567378,30.086301293591433,87.19113486566604
42,42,42,32.0,32,1024,512,16,282560242991203,282560246812026,282560242907171,282560243575741,3820823,668570,584538,15.298745846117445,87.43108425445354
43,43,43,32.0,32,1024,1024,1,282657502236309,282657503200075,282657502227650,282657502892250,963766,664600,655941,68.06019303440877,98.69711104423715
44,44,44,32.0,32,1024,1024,4,282757401890966,282757405497899,282757401809821,282757402488373,3606933,678552,597407,16.562741808622448,88.04144708143222
45,45,45,32.0,32,1024,1024,8,282856079812126,282856086983735,282856079727973,282856080368118,7171609,640145,555992,7.752681441500784,86.85407212428434
46,46,46,32.0,32,1024,2048,1,282949283320241,282949286912380,282949283240298,282949283887218,3592139,646920,566977,15.783826850798368,87.642521486428
47,47,47,32.0,32,1024,2048,4,283043149360618,283043163443401,283043149278951,283043149912521,14082783,633570,551903,3.918991011932798,87.1100273055858
48,48,48,32.0,32,1024,2048,8,283135642730604,283135670846215,283135642649378,283135643280341,28115611,630963,549737,1.9552731754611343,87.12666194372729
49,49,49,32.0,32,1024,4096,1,283229203912184,283229217902716,283229203829555,283229204461160,13990532,631605,548976,3.923910827694043,86.91761464839576
50,50,50,32.0,32,1024,4096,4,283320421291693,283320476209993,283320421202913,283320421833797,54918300,630884,542104,0.9871099433157982,85.92768242656335
51,51,51,32.0,32,2048,256,1,288556333310671,288556333432791,288556333227767,288556334482238,122120,1254471,122120,100.0,9.734780636618941
52,52,52,32.0,32,2048,256,4,288630938371702,288630938644807,288630938289635,288630939517965,273105,1228330,273105,100.0,22.23384595344899
53,53,53,32.0,32,2048,256,8,288705688660467,288705689213051,288705688578920,288705689811781,552584,1232861,552584,100.0,44.82127344445156
54,54,54,32.0,32,2048,256,16,288781567138805,288781568199512,288781567058060,288781568275205,1060707,1217145,1060707,100.0,87.14713530433926
55,55,55,32.0,32,2048,256,32,288856697177920,288856699334895,288856697098057,288856698367081,2156975,1269024,1189161,55.13095886600448,93.70673840683864
56,56,56,32.0,32,2048,512,1,288932713733373,288932713985390,288932713653029,288932714847603,252017,1194574,252017,100.0,21.096809406533207
57,57,57,32.0,32,2048,512,4,289008379275413,289008380239058,289008379194388,289008380434385,963645,1239997,963645,100.0,77.71349446813178
58,58,58,32.0,32,2048,512,8,289083456103937,289083458003564,289083456020547,289083457282755,1899627,1262208,1178818,62.05523505403956,93.39332344589798
59,59,59,32.0,32,2048,512,16,289158706223497,289158710015975,289158706144877,289158707384473,3792478,1239596,1160976,30.612596829829997,93.65761102810916
60,60,60,32.0,32,2048,1024,1,289234788492300,289234789430607,289234788404900,289234789625373,938307,1220473,938307,100.0,76.88060284823999
61,61,61,32.0,32,2048,1024,4,289309964836951,289309968431496,289309964756067,289309966028819,3594545,1272752,1191868,33.15768755155381,93.64495204093177
62,62,62,32.0,32,2048,1024,8,289385889364818,289385896567018,289385889282710,289385890508715,7202200,1226005,1143897,15.882605315042625,93.30280055954094
63,63,63,32.0,32,2048,2048,1,289461518149561,289461521727749,289461518062201,289461519307411,3578188,1245210,1157850,32.35855690086714,92.98431589852314
64,64,64,32.0,32,2048,2048,4,289537813587355,289537827601663,289537813500677,289537814723475,14014308,1222798,1136120,8.106857648625962,92.91150296287695
65,65,65,32.0,32,2048,2048,8,289614552510914,289614580462754,289614552426321,289614553645751,27951840,1219430,1134837,4.059972438308176,93.06290643989405
66,66,66,32.0,32,2048,4096,1,289690206150885,289690220234511,289690206069459,289690207290533,14083626,1221074,1139648,8.09200698740509,93.33160807616902
